Age_start;Age_end;Positive;Country;Date;Average_temperature;Death_case;Symptom
60;69;204;Danmark;3/25/2020;39,1 ;Yes;Fever
70;79;192;Danmark;3/25/2020;38,6 ;Yes;Cough
80;89;147;Danmark;3/25/2020;38,4 ;No;Fever
0;9;19;Norway;3/25/2020;38,8 ;Yes;Fever
10;19;93;Norway;3/25/2020;38,5 ;No;Cough
20;29;351;Norway;3/25/2020;39,7 ;Yes;Fever
30;39;463;Norway;3/25/2020;39,2 ;Yes;Cough
40;49;590;Norway;3/25/2020;39,1 ;No;Cough
50;59;652;Norway;3/25/2020;39,7 ;No;Fever
60;69;354;Norway;3/25/2020;39,4 ;No;Fever
70;79;177;Norway;3/25/2020;39,6 ;No;Strengthless
80;89;101;Norway;3/25/2020;38,3 ;No;Cough
90;99;28;Norway;3/25/2020;38,8 ;No;Cough
100;120;2;Norway;3/25/2020;39,3 ;Yes;Fever
0;9;34;Portugal;3/25/2020;39,4 ;No;Fever
10;19;77;Portugal;3/25/2020;38,5 ;No;Fever
20;29;348;Portugal;3/25/2020;39,4 ;Yes;Fever
30;39;490;Portugal;3/25/2020;38,4 ;No;Cough
40;49;551;Portugal;3/25/2020;38,4 ;Yes;Strengthless
50;59;535;Portugal;3/25/2020;38,5 ;Yes;Fever
60;69;424;Portugal;3/25/2020;39,8 ;Yes;Cough
70;79;276;Portugal;3/25/2020;40,0 ;Yes;Fever
80;120;260;Portugal;3/25/2020;39,3 ;Yes;Strengthless
0;9;49;Switzerland;3/25/2020;38,9 ;Yes;Cough
10;19;259;Switzerland;3/25/2020;39,3 ;No;Fever
20;29;1113;Switzerland;3/25/2020;38,4 ;Yes;Cough
30;39;1401;Switzerland;3/25/2020;39,4 ;Yes;Fever
40;49;1589;Switzerland;3/25/2020;38,6 ;No;Fever
50;59;2105;Switzerland;3/25/2020;39,7 ;Yes;Cough
60;69;1309;Switzerland;3/25/2020;38,4 ;Yes;Cough
70;79;1033;Switzerland;3/25/2020;38,9 ;No;Fever
80;120;877;Switzerland;3/25/2020;39,1 ;No;Fever
0;9;318;Italy;3/23/2020;39,2 ;No;Strengthless
10;19;386;Italy;3/23/2020;39,0 ;No;Cough
20;29;2192;Italy;3/23/2020;39,4 ;No;Cough
30;39;3995;Italy;3/23/2020;38,5 ;Yes;Fever
40;49;7267;Italy;3/23/2020;38,8 ;No;Cough
50;59;11280;Italy;3/23/2020;38,7 ;Yes;Fever
60;69;10423;Italy;3/23/2020;38,8 ;No;Cough
70;79;11320;Italy;3/23/2020;38,6 ;Yes;Strengthless
80;89;8579;Italy;3/23/2020;39,7 ;No;Cough
90;120;1935;Italy;3/23/2020;39,1 ;No;Fever
0;9;3;Estonia;3/25/2020;38,6 ;Yes;Fever
10;19;18;Estonia;3/25/2020;39,2 ;Yes;Cough
20;29;35;Estonia;3/25/2020;38,2 ;Yes;Fever
30;39;86;Estonia;3/25/2020;38,8 ;No;Fever
40;49;96;Estonia;3/25/2020;39,0 ;No;Cough
50;59;90;Estonia;3/25/2020;39,0 ;Yes;Cough
60;120;74;Estonia;3/25/2020;38,7 ;Yes;Strengthless
